,time,user,tweet
114,2022-07-14 20:54:44+00:00,atiku,"Congratulations to Nigeria’s Female Football team, the Super Falcons, @NGSuper_Falcons, for qualifying for the 2023 Women’s World Cup in Australia and New Zealand and their qualification for the semifinals of the Women’s Africa Cup of Nations (WAFCON) in Morocco. -AA"
115,2022-07-14 18:24:25+00:00,atiku,https://t.co/pfOqtzA6Xs
116,2022-07-14 18:24:17+00:00,atiku,https://t.co/Ld0IS2ZhyA
117,2022-07-14 18:24:11+00:00,atiku,#ImoleOsun #OsunDecides2022 https://t.co/j48wwA2Aqp
118,2022-07-12 18:10:06+00:00,atiku,I look forward to working with many amazing Nigerians like you to unite and rebuild Nigeria. -AA
119,2022-07-12 18:10:05+00:00,atiku,"Mr Rabiu has distinguished himself as an astute businessman who continues to create jobs and opportunities. His reappointment again emphasises Nigeria’s role across nations in business and economy, among other sectors."
120,2022-07-12 18:10:04+00:00,atiku,"I congratulate the Founder/Chairman of @BUAgroup, Abdul Samad Rabiu (CON), on his reappointment as President of the France-Nigeria Business Council by President @EmmanuelMacron of France. https://t.co/8F5iBMDGRJ"
121,2022-07-11 13:32:44+00:00,atiku,"On behalf of my family, I join friends and well-wishers to celebrate my brother, the governor of Akwa Ibom State, H.E Udom Emmanuel. May God Almighty grant you more years in good health &amp; service to the benefit of the good people of Akwa Ibom State &amp; humanity. Happy birthday.-AA https://t.co/0GWI0NhZO1"
122,2022-07-11 09:08:10+00:00,atiku,A living legend and an exemplary citizen. Congratulations on eight decades of life! -AA
123,2022-07-11 09:08:09+00:00,atiku,"Today, I celebrate a freshly minted Octogenarian, Sir Oludotun Baiyewu Jacobs (Olu Jacobs). You have seen the world change tremendously and imparted it in your stead. You have been an inspiration to many, a highly respected and honourable person. https://t.co/fQ5wq8VpWE"
124,2022-07-10 13:00:01+00:00,atiku,"Humanity is where my heart is. The story of Michael Ameh, amongst many untold, makes it all worth it. -AA

Watch the full video at: https://t.co/UweVQDdZXi https://t.co/qrhjneJZ0Z"
125,2022-07-09 08:02:37+00:00,atiku,"Above all, I pray for peace during and after the Eid celebration even as I task Nigerians to work even harder to ensure the unity of all peoples, tribes and faiths in the country. -AA"
126,2022-07-09 08:02:36+00:00,atiku,"As we inch towards the deadline on the ongoing voter registration exercise, the people must ensure that they play their roles by not just getting their Permanent Voters Card (PVC) but casting their votes for the best candidates in the election next year."
127,2022-07-09 08:02:36+00:00,atiku,"As stakeholders, the citizens too, should take a lesson from the celebration of Eid-el-Kabir by being up and doing in their civic responsibilities."
128,2022-07-09 08:02:35+00:00,atiku,"It is only when this is done that there can be love between the government and the governed.

Love is a pre-condition for God’s mercies and blessings, and truth must guide all relationships, especially between the government and the people."
129,2022-07-09 08:02:35+00:00,atiku,The expression of love and sacrifice symbolised by the Eid-el-Kabir celebration has a strong effect in the relationship between the government and the governed. It is incumbent on the government to optimally discharge its responsibilities to the people.
130,2022-07-09 08:02:35+00:00,atiku,"I also wish to task the government at all levels to play its Constitutional role by being upright and dutiful and prioritise the needs of the people they have taken an oath to serve. The unity, security and development of our country is sacrosanct."
131,2022-07-09 08:02:34+00:00,atiku,"Meanwhile, the privileged and wealthy ones amongst us need to intensify their acts of charity to the less privileged. There's love in sharing. 

Let's work in concert to purposefully lessen the hardship facing our brothers and sisters. Let's love our neighbours as ourselves."
132,2022-07-09 08:02:34+00:00,atiku,"If we emulate the righteousness and great virtues of the Holy Prophet, mankind shall no doubt receive the reward of Allah's love and mercy."
133,2022-07-09 08:02:33+00:00,atiku,"Therefore, selfless sacrifice and communal love, as exemplified by Prophet Ibrahim and his son, Ishmael, should guide us as we submit ourselves and needs to the Will of Allah."
134,2022-07-09 08:02:33+00:00,atiku,"The hardships in the land and the harrowing experiences that people go through to survive, and the pervasive lack of unity amongst Nigerians, are the reasons why we must do a sober reflection on the State of our Nation as we mark this year's Sallah."
135,2022-07-09 08:02:32+00:00,atiku,"The purpose of the celebration has a bold reflection on Nigeria. Our country is broken, and insecurity has become a daily menace staring all our compatriots in the face."
136,2022-07-09 08:02:31+00:00,atiku,"As we celebrate, I wish to remind that the essence of the celebration of the Eid-el-Kabir is about sacrifice, love, and hope for peaceful coexistence in our dear country and the world at large."
137,2022-07-09 08:02:30+00:00,atiku,I congratulate Muslims in Nigeria and across the world on the occasion of the Eid-el-Kabir celebration. https://t.co/0iqcFSW9F6
138,2022-07-08 11:02:23+00:00,atiku,"My prayer is that in a few months from now, we shall get to work and, together, herald an era of prosperity, peace and unity in our dear country. I wish you many happy returns, dear brother and friend. -AA"
139,2022-07-08 11:02:22+00:00,atiku,"On behalf of my family, I wish to express a hearty felicitation with H.E @IAOkowa on his birthday anniversary. Your commitment to good governance and improving the lots of the common man continues to be the driving force of your politics. https://t.co/E6zX2uipMf"
140,2022-07-07 10:21:28+00:00,atiku,"I celebrate the National Youth Leader of our great party, the PDP, Prince Muhammed Kadade Suleiman, @abba_kadade, on the occasion of his birthday. I pray that the Almighty Allah will continue to grant you continued strength in your service to our great party and Nigeria. -AA https://t.co/oMvTfgeTJE"
141,2022-07-06 11:34:04+00:00,atiku,I wish to restate what I said to @THISDAYLIVE on Monday that our inability to enthrone a regime of law &amp; order in which the arrest and prosecution of criminals will be made a priority as a deterrent to copycats is the reason why insecurity continues to fester in our country.-AA
142,2022-07-06 11:34:03+00:00,atiku,for the security of lives and property to residents of Abuja and its environs.
143,2022-07-06 11:34:03+00:00,atiku,I am concerned and saddened by reports of the attack on Kuje Prison by suspected terrorists. My concern arises not only from the prospects of the escape of detained terrorists and hardened criminals but of its implications
144,2022-07-06 08:14:22+00:00,atiku,"My condolences to his family and friends, management and staff of NNPC and OPEC. I pray that Allah forgives his sins and grants him Aljannah Firdaus. Ameen. -AA"
145,2022-07-06 08:14:21+00:00,atiku,"He was indeed a worthy ambassador of Nigeria. He died in active service, having delivered a speech at the ongoing Nigerian Oil and Gas Conference in Abuja and held a meeting with President @MBuhari hours before passing. He was my very good friend, and he will be sorely missed."
146,2022-07-06 08:14:20+00:00,atiku,"Inna lillahi wa inna ilayhi raji'un.
I am saddened by the passing away of the Wali of Adamawa, Secretary-General of @OPECSecretariat, and former GMD @NNPCgroup, Dr Muhammad Sanusi Barkindo. Barkindo left indelible marks in his service to our nation and OPEC. https://t.co/nJHZvAF18G"
147,2022-07-04 18:18:19+00:00,atiku,"These ideals are the defining elements of a post-modern world, which should be the fundamental objective of all progressive societies. -AA @POTUS @USinNigeria @StateDept"
148,2022-07-04 18:18:19+00:00,atiku,The US continues to play leading roles in the promotion of the ideals of good governance and protection of human dignity.
149,2022-07-04 18:18:18+00:00,atiku,I join all lovers of democracy the world over in felicitation with the people and government of the United States of America on its Independence Day anniversary.
